!omamer-version: 2.0.4
!query-md5: 0ba3df64bec478a636fba2733128daa1
!date-run: 2024-10-16T09:35:19.332361
!db-path: DB/LUCA.h5
!db-info-source: OMA / All.Jul2024
!db-info-root_level: LUCA
!db-info-database_hash: c259ac11f2fe04d44b5e031a6ec1b496
qseqid	hogid	hoglevel	family_p	family_count	family_normcount	subfamily_score	subfamily_count	qseqlen	subfamily_medianseqlen	qseq_overlap
tr|A0A4U1EW40|A0A4U1EW40_MONMO	HOG:E0784235.5b.4a	Vertebrata	4463.889548435397	978	0.7774968172956545	0.4134986838471937	196	1262	979	0.9357652656621729
tr|A0A4U1EWS8|A0A4U1EWS8_MONMO	HOG:E0738555.3b	Eutheria	964.4188136663549	154	0.9165584911395852	0.6216188143621261	23	174	841	0.9190751445086706
tr|A0A4U1EWU0|A0A4U1EWU0_MONMO	HOG:E0733555.1a	Eutheria	1226.9177717808577	178	0.7704536552840793	0.6988623384702296	123	237	229	0.9449152542372882
tr|A0A4U1EWX3|A0A4U1EWX3_MONMO	HOG:E0728639	Eutheria	3788.852450569682	599	0.8114702206699502	0.8116476288957833	599	753	668	0.913563829787234
tr|A0A4U1EX41|A0A4U1EX41_MONMO	HOG:E0780468.2c.4d.2z.5b	Amniota	2292.5440030450745	536	0.42652227511734725	0.1973071838242655	176	1263	523	0.6236133122028527
tr|A0A4U1EXP6|A0A4U1EXP6_MONMO	HOG:E0803796.3c.2b.13c.12b	Euteleostomi	379.7953258085804	97	1.0	0.9999967026404567	28	103	1618	1.0
tr|A0A4U1EYB8|A0A4U1EYB8_MONMO	HOG:E0778154.3m.12p	Vertebrata	483.86850556792115	124	0.633464708125622	0.14285560378802092	12	201	632	0.965
tr|A0A4U1EZJ9|A0A4U1EZJ9_MONMO	HOG:E0802688.6b.15b	Vertebrata	993.5115827740603	341	0.9938586506231257	0.9936410655220622	314	349	3170	1.0
tr|A0A4U1EZW8|A0A4U1EZW8_MONMO	HOG:E0779922.3a	Gnathostomata	4048.0358644056914	729	0.9850824945391413	0.9816875937671229	590	748	737	0.9946452476572959
tr|A0A4U1F010|A0A4U1F010_MONMO	HOG:E0758187.2d.4b	Sarcopterygii	1177.8344713766649	202	0.9805336359704774	0.9622633250699298	102	212	212	1.0
tr|A0A4U1F0W0|A0A4U1F0W0_MONMO	HOG:E0813530.12a.3b	Gnathostomata	3137.2974071427943	548	1.0	0.9999988454560144	157	554	552	1.0
tr|A0A4U1F127|A0A4U1F127_MONMO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	78	N/A	N/A
tr|A0A4U1F2B6|A0A4U1F2B6_MONMO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	92	N/A	N/A
tr|A0A4U1F313|A0A4U1F313_MONMO	HOG:E0789781.1b.2b.1b.3b.6b	Tetrapoda	4214.415250922586	798	1.0	0.9999985571428769	101	804	789	1.0
tr|A0A4U1F3D0|A0A4U1F3D0_MONMO	HOG:E0802082.2a.6a.1c.9c.2d	Vertebrata	1032.292848168441	223	0.8189035929972113	0.36458328490447484	35	278	417	0.9855595667870036
tr|A0A4U1F5E7|A0A4U1F5E7_MONMO	HOG:E0793108.6j.35n.25a	Laurasiatheria	1567.6798912122838	463	0.7513397830368527	0.2657001282696844	55	619	455	0.7734627831715211
tr|A0A4U1F644|A0A4U1F644_MONMO	HOG:E0749735.1a	Euteleostomi	4956.901335133007	777	0.6910694805742821	0.6735223822249521	720	1130	1167	0.895482728077945
tr|A0A4U1F7L5|A0A4U1F7L5_MONMO	HOG:E0731775	Mammalia	1883.2661078139108	262	0.5573528900470831	0.5574455012543189	262	476	273	0.5726315789473684
tr|A0A4U1F7N6|A0A4U1F7N6_MONMO	HOG:E0801468.10kzr.6297a	Metazoa	78.82221781748501	323	0.9880690644751713	0.9852907563614224	67	330	327	1.0
tr|A0A4U1F7S8|A0A4U1F7S8_MONMO	HOG:E0801777.5a.14d.4b.18b.24b.10b	Boreoeutheria	2527.3869492502554	545	0.9854052848130593	0.836734350032656	41	560	587	1.0
tr|A0A4U1F868|A0A4U1F868_MONMO	HOG:E1027269.3b.7c.19a.25n	Bilateria	740.1423821476576	129	0.9212561494623427	0.19999997998273852	5	146	136	1.0
tr|A0A4U1F8L6|A0A4U1F8L6_MONMO	HOG:E0780415.4b.2a.5b	Amniota	742.9980599795152	142	0.5885641135938396	0.157023901974575	19	247	227	0.6504065040650406
tr|A0A4U1F8Z4|A0A4U1F8Z4_MONMO	HOG:E0793048.5bz.270c.197b	Chordata	495.60233297374873	244	0.8314222368443903	0.6645123167125199	103	295	529	0.9659863945578231
tr|A0A4U1F910|A0A4U1F910_MONMO	HOG:E0726672	Eutheria	3167.1510707574325	372	1.0	0.9999986859636404	372	479	529	1.0
tr|A0A4U1F919|A0A4U1F919_MONMO	HOG:E0727636	Eutheria	2588.9891031057778	321	0.7534853754849254	0.7535198298357337	321	487	552	0.9300411522633745
tr|A0A4U1F952|A0A4U1F952_MONMO	HOG:E0803094.7b.7a.20c	Vertebrata	4823.993016114854	1452	0.9636720531499705	0.9472007153700025	969	1511	2082	0.9827814569536424
tr|A0A4U1F977|A0A4U1F977_MONMO	HOG:E0745670.3a	Tetrapoda	6772.101235203303	1309	0.9637440802424103	0.9453616511168507	848	1366	1392	1.0
tr|A0A4U1F9Q4|A0A4U1F9Q4_MONMO	HOG:E0730722	Theria	361.13999254689514	49	0.6446717692921694	0.6447361550611911	49	82	85	0.9382716049382716
tr|A0A4U1FA05|A0A4U1FA05_MONMO	HOG:E0801474.6a.21g.23b.25a.24b.23a.22b.7b.3a.4c	Simiiformes	332.54036911176826	62	0.7465223048753943	0.18181816018662506	6	89	125	0.8977272727272727
tr|A0A4U1FA76|A0A4U1FA76_MONMO	HOG:E0731713.1a	Eutheria	3744.5651518444142	590	0.8169983457754599	0.6756726611406659	275	728	714	0.9972489683631361
tr|A0A4U1FAJ5|A0A4U1FAJ5_MONMO	HOG:E0812168.2b.9a.6a.6a	Euteleostomi	1511.488023602327	289	0.9056110316508079	0.876538779604571	213	325	350	0.9166666666666666
tr|A0A4U1FAP9|A0A4U1FAP9_MONMO	HOG:E0753033.2b.2b.5c	Mammalia	8868.580902759202	2136	0.8792115427879528	0.841735493977633	1601	2433	2425	1.0
tr|A0A4U1FB43|A0A4U1FB43_MONMO	HOG:E0803583.1a.1b.1a.1a.3b.4a.7a.9b.2a	Laurasiatheria	581.4885657632095	96	0.8646865429468689	0.2857142317968233	6	117	112	0.9568965517241379
tr|A0A4U1FBN3|A0A4U1FBN3_MONMO	HOG:E0730110	Theria	1160.8116941671647	151	0.7022720992645269	0.7023244607515641	151	221	214	0.9727272727272728
tr|A0A4U1FC53|A0A4U1FC53_MONMO	HOG:E0732412.1b	Eutheria	5302.560743864573	703	0.97502311534083	0.9543123468295409	376	727	753	1.0
tr|A0A4U1FCU6|A0A4U1FCU6_MONMO	HOG:E0789672.1b.9c.4a.1a.8a	Boreoeutheria	2559.332009730772	563	0.9928743451390727	0.8095231218340194	17	573	975	1.0
tr|A0A4U1FDF3|A0A4U1FDF3_MONMO	HOG:E0794483.4b.6b	Gnathostomata	1512.4424718852301	312	0.7033363655572931	0.2399967187834096	42	449	506	0.9464285714285714
tr|A0A4U1FF30|A0A4U1FF30_MONMO	HOG:E0751540	Gnathostomata	789.1026054422767	86	0.8269140600243531	0.8269228670646902	86	110	150	0.8348623853211009
tr|A0A4U1FFF3|A0A4U1FFF3_MONMO	HOG:E0755599.3d.3a.2b	Sarcopterygii	2455.290043758063	402	0.945788354001132	0.8251734313922786	118	431	468	1.0
tr|A0A4U1FGG8|A0A4U1FGG8_MONMO	HOG:E0732124.3a	Artiodactyla	1145.607050468904	199	0.5205609488951132	0.35117034385196966	105	388	293	0.7751937984496124
tr|A0A4U1FHE5|A0A4U1FHE5_MONMO	HOG:E0738481	Sarcopterygii	4666.61388107481	811	0.900894245834397	0.9011023693792996	811	1005	1183	1.0
tr|A0A4U1FHK8|A0A4U1FHK8_MONMO	HOG:E0755606.1l.2f.8a.3a	Amniota	2485.4905653771793	389	1.0	0.9999993817249069	23	395	412	1.0
tr|A0A4U1FJF2|A0A4U1FJF2_MONMO	HOG:E0801947.39a	Boreoeutheria	4613.3352081041885	1188	0.9889638088726305	0.9119486365655168	145	1207	1192	0.9991708126036484
tr|A0A4U1FK09|A0A4U1FK09_MONMO	HOG:E0737825.5c.1b	Cetacea	11759.84057385726	2460	0.8858457864736313	0.21598627832856282	127	2781	3188	0.9881294964028777
tr|A0A4U1FK61|A0A4U1FK61_MONMO	HOG:E0736599	Tetrapoda	2151.1177333852224	311	0.9658105054563892	0.9658370587110297	311	328	331	1.0
tr|A0A4U1FK70|A0A4U1FK70_MONMO	HOG:E0803154.14b.17b	Tetrapoda	353.8340057150961	98	1.0	0.999996365898461	68	104	1390	1.0
tr|A0A4U1FL21|A0A4U1FL21_MONMO	HOG:E0778262.3d.6b.4b	Euteleostomi	2626.764417558718	512	0.9941421061423223	0.9895787926435639	285	521	788	1.0
tr|A0A4U1FMD8|A0A4U1FMD8_MONMO	HOG:E0793340.4a.8e.17b	Eutheria	783.8753317482588	184	0.9837595022308839	0.9464278110954936	53	193	542	0.984375
tr|A0A4U1FMS1|A0A4U1FMS1_MONMO	HOG:E0784880.1a	Deuterostomia	8046.833994198417	1712	0.9753001682171042	0.9739890217899994	1612	1763	1961	1.0
tr|A0A4U1FNC4|A0A4U1FNC4_MONMO	HOG:E0784345.1a.2b.3b	Vertebrata	828.2305876807292	109	1.0	0.9999997388070233	57	115	115	1.0
tr|A0A4U1FP36|A0A4U1FP36_MONMO	HOG:E0793392.1a.1c	Bilateria	72.96041445816206	23	0.2506589337235009	0.12657937823810883	10	97	147	0.8333333333333334
tr|A0A4U1FPL7|A0A4U1FPL7_MONMO	HOG:E0731644.1b	Eutheria	724.366906369471	98	0.6949659388822598	0.6451606187757433	80	147	276	0.9657534246575342
tr|A0A4U1FQ61|A0A4U1FQ61_MONMO	HOG:E0815708.4b.13b	Artiodactyla	1477.5550369347902	299	1.0	0.9999999806284566	7	305	351	1.0
tr|A0A4U1FRB2|A0A4U1FRB2_MONMO	HOG:E0761058.1a.4b	Boreoeutheria	3320.099620142715	574	0.9811448733840354	0.8533324209336399	64	591	663	1.0
tr|A0A4U1FRS1|A0A4U1FRS1_MONMO	HOG:E0745867.2a.7b	Boreoeutheria	4790.433858672472	802	0.9864382001861491	0.9536654250358237	247	819	954	1.0
tr|A0A4U1FSC9|A0A4U1FSC9_MONMO	HOG:E0746632	Gnathostomata	1619.970898811055	215	0.9907789940788122	0.9907814103492534	215	223	327	0.990990990990991
tr|A0A4U1FTU3|A0A4U1FTU3_MONMO	HOG:E0730724.1b	Boreoeutheria	9257.867305346259	1410	0.9610993811249855	0.8834334125635086	432	1483	1435	1.0
tr|A0A4U1FUA5|A0A4U1FUA5_MONMO	HOG:E0805178.7b	Metazoa	674.7927310616889	111	0.9486323462821561	0.7931024897073236	23	123	151	1.0
tr|A0A4U1FUR1|A0A4U1FUR1_MONMO	HOG:E0795532	Opisthokonta	4626.024201013632	963	0.8684500723062969	0.8690933864490314	963	1119	3455	1.0
tr|A0A4U1FUY7|A0A4U1FUY7_MONMO	HOG:E0741543.1a	Eutheria	2703.30355199741	405	0.8861205473722399	0.8409761957208183	275	476	473	1.0
tr|A0A4V5P5L6|A0A4V5P5L6_MONMO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	128	N/A	N/A
tr|A0A4V5P7H6|A0A4V5P7H6_MONMO	HOG:E0792959.5d.28c.16c.9b	Gnathostomata	830.9083760849852	197	0.9749385484748508	0.9397571432219305	78	208	274	1.0
tr|A0A4V5P8J0|A0A4V5P8J0_MONMO	HOG:E0792940.6oc.291b.120a.74b.41b	Amniota	235.7634771720817	323	0.8757767662805539	0.697246972240524	76	357	502	1.0
tr|A0A4V5P939|A0A4V5P939_MONMO	HOG:E0801966.5a.9c.11b.3b.16b	Gnathostomata	1032.8954381910332	178	1.0	0.9999997381613052	17	184	184	1.0
tr|A0A4V6WNZ3|A0A4V6WNZ3_MONMO	HOG:E0745865	Gnathostomata	4484.882364587571	746	0.9526522239575569	0.9527382853555997	746	789	831	0.9619289340101523
tr|A0A4V6WPA1|A0A4V6WPA1_MONMO	HOG:E0737109	Tetrapoda	3248.08634002166	425	0.977001893270448	0.9770095219068979	425	441	439	0.9977272727272727
tr|A0A4V6WPB7|A0A4V6WPB7_MONMO	HOG:E1027587.10b.30e.23e.39a.17b	Euteleostomi	985.1185649034771	309	0.7152554527496212	0.582189459142443	170	436	314	0.9517241379310345
tr|A0A4U1ECY2|A0A4U1ECY2_MONMO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	68	N/A	N/A
tr|A0A4U1EDG1|A0A4U1EDG1_MONMO	HOG:E0801999.10h.66f.105a	Gnathostomata	2685.999272692675	1197	0.9239427168612104	0.8378769923916491	491	1293	1250	0.989938080495356
tr|A0A4U1EEI8|A0A4U1EEI8_MONMO	HOG:E0763418.2a.4c	Gnathostomata	863.6506108347753	161	0.8469639074126203	0.8333320141312288	145	196	329	0.8512820512820513
tr|A0A4U1EEU4|A0A4U1EEU4_MONMO	HOG:E0802580	Eukaryota	946.635236140025	162	0.8262609576485546	0.8265258255365274	162	202	166	0.8308457711442786
tr|A0A4U1EF11|A0A4U1EF11_MONMO	HOG:E0751226	Gnathostomata	464.2163591797995	72	0.5452790415357672	0.5454532863042254	72	142	154	0.6382978723404256
tr|A0A4U1EFW1|A0A4U1EFW1_MONMO	HOG:E0793079.1a.1b.4a.5a	Euteleostomi	1840.7861643998076	329	0.9704088408292053	0.8666634199959953	65	345	553	1.0
tr|A0A4U1EGQ7|A0A4U1EGQ7_MONMO	HOG:E1030484	LUCA	20.304560261985408	63	0.07716863774331462	N/A	N/A	611	690	0.8950819672131147
tr|A0A4U1EGS1|A0A4U1EGS1_MONMO	HOG:E0756329.1b	Gnathostomata	1979.7560648806302	235	1.0	0.9999995334686634	133	241	241	1.0
tr|A0A4U1EH02|A0A4U1EH02_MONMO	HOG:E0772844.2b.5a	Boreoeutheria	3778.632734912055	657	0.98496409113354	0.8333329484853381	50	673	772	0.9940476190476191
tr|A0A4U1EH96|A0A4U1EH96_MONMO	HOG:E0759746.8c.1b	Artiodactyla	947.3196831693613	124	1.0	0.9999999783684431	11	130	130	1.0
tr|A0A4U1EHJ1|A0A4U1EHJ1_MONMO	HOG:E0802109.9ej.825c	Eutheria	67.6805717989173	152	0.32853642475230715	0.17454405075427723	48	359	509	1.0
tr|A0A4U1EHQ7|A0A4U1EHQ7_MONMO	HOG:E0746889	Gnathostomata	1885.4722305877792	271	0.8741188618469414	0.8741898261450353	271	316	304	0.9111111111111111
tr|A0A4U1EHZ6|A0A4U1EHZ6_MONMO	HOG:E0724951	Boreoeutheria	1092.7105788533233	145	0.6303702590102456	0.6260862036144196	144	236	315	0.948936170212766
tr|A0A4U1EI24|A0A4U1EI24_MONMO	HOG:E0732517	Mammalia	657.0509079848651	125	0.2843156184927557	0.2847353273719087	125	445	2210	0.9527027027027027
tr|A0A4U1EI93|A0A4U1EI93_MONMO	HOG:E0739294	Euteleostomi	5224.264182390249	789	0.987468990402151	0.9874777142335148	789	805	1322	1.0
tr|A0A4U1EIP9|A0A4U1EIP9_MONMO	HOG:E0729839	Theria	2213.500885142404	306	0.8792549758788435	0.8793078639785967	306	354	349	1.0
tr|A0A4U1EK04|A0A4U1EK04_MONMO	HOG:E0759270.1b	Chordata	2374.292731272335	393	0.5329462778856046	0.5182043481243424	370	743	422	0.6320754716981132
tr|A0A4U1EKN7|A0A4U1EKN7_MONMO	HOG:E0755532.1a.5a	Eutheria	3705.913953536626	566	0.9113433213260519	0.6071423718856953	85	648	578	0.9489953632148377
tr|A0A4U1EL49|A0A4U1EL49_MONMO	HOG:E0746170.2a	Sarcopterygii	4115.624589816378	838	0.797309189338812	0.7565973223624792	659	1058	859	0.8864711447492905
tr|A0A4U1ELK5|A0A4U1ELK5_MONMO	HOG:E0796047	Opisthokonta	439.109713153963	54	0.7199705970312498	0.7199997249240839	54	81	60	0.7375
tr|A0A4U1ELN7|A0A4U1ELN7_MONMO	HOG:E0802697.4b	Opisthokonta	522.4974112892685	93	0.5598216325314047	0.2626241898711204	26	172	96	0.5730994152046783
tr|A0A4U1ENK5|A0A4U1ENK5_MONMO	HOG:E0752474	Vertebrata	1532.248752525846	242	0.9958779913554087	0.9958792253296669	242	249	760	0.9959677419354839
tr|A0A4U1EP58|A0A4U1EP58_MONMO	HOG:E0755374.3i.6b.2a.3a	Mammalia	2043.2346923128607	381	0.9046809405057181	0.6692293221764783	87	427	612	0.9131455399061033
tr|A0A4U1EPP9|A0A4U1EPP9_MONMO	HOG:E0753942.1a.1b	Boreoeutheria	1271.4614562993127	191	1.0	0.9999991269891113	20	197	394	1.0
tr|A0A4U1EQ20|A0A4U1EQ20_MONMO	HOG:E0805787.2b.13b	Eumetazoa	36.71107788427902	17	0.1771789266539929	0.10227063676033694	9	100	178	0.7171717171717171
tr|A0A4U1EQC3|A0A4U1EQC3_MONMO	HOG:E0756263.1a.4b.4b	Cetacea	1940.9100867218551	354	0.733950856280581	0.14035085814429812	24	488	540	1.0
tr|A0A4U1ERD3|A0A4U1ERD3_MONMO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	153	N/A	N/A
tr|A0A4U1ERL6|A0A4U1ERL6_MONMO	HOG:E0758154.1c	Vertebrata	2927.2923783090987	592	1.0	0.9999886731357236	388	611	1304	1.0
tr|A0A4U1ERQ0|A0A4U1ERQ0_MONMO	HOG:E0789429.2b.4b.3b.17a	Tetrapoda	346.0381002575892	62	0.5581492236518312	0.34177165179005575	27	117	130	0.9568965517241379
tr|A0A4U1ESM0|A0A4U1ESM0_MONMO	HOG:E0765834.4a	Euteleostomi	920.6879427509361	163	0.7371588057647607	0.4313712143202686	44	228	296	1.0
tr|A0A4U1ESM7|A0A4U1ESM7_MONMO	HOG:E0746330.3a	Boreoeutheria	1875.5855820673944	300	0.8927209421644904	0.3571422285362743	20	344	662	0.9125364431486881
tr|A0A4U1EU71|A0A4U1EU71_MONMO	HOG:E0802298.10c.27c.35a	Vertebrata	316.2989804536884	97	0.5227173312370061	0.23076879910667233	30	190	224	0.9894179894179894
tr|A0A4U1EVZ9|A0A4U1EVZ9_MONMO	HOG:E0809042.7o.48a	Mammalia	1224.006113654074	399	1.0	0.9999972437522353	102	405	972	1.0
tr|A0A4U1EX36|A0A4U1EX36_MONMO	HOG:E1028315.1b.10b.10b.5a.19b.6a	Mammalia	919.1480757515275	195	1.0	0.9999991957580905	17	201	306	1.0
tr|A0A4U1EX47|A0A4U1EX47_MONMO	HOG:E0727035	Eutheria	2085.914021753853	326	0.7307459231634805	0.7286967759501987	325	477	423	0.976890756302521
tr|A0A4U1EXL8|A0A4U1EXL8_MONMO	HOG:E0807608.7b.5a.10b.25a	Mammalia	2773.0752469606564	693	0.9687422557020017	0.9228048766654566	263	721	723	1.0
tr|A0A4U1EZ32|A0A4U1EZ32_MONMO	HOG:E0752371.2a.1b.4a	Eutheria	2373.2905929043363	351	0.9831760032411077	0.9387750033153631	92	363	363	1.0
tr|A0A4U1EZY5|A0A4U1EZY5_MONMO	HOG:E0801946.6ap.65c.28a.32a	Balaenoptera musculus	574.590063551722	238	0.7353313242775649	0.1010100506440882	10	325	411	0.9969135802469136
tr|A0A4U1F027|A0A4U1F027_MONMO	HOG:E0729096	Eutheria	1914.3352864154363	291	0.6464928366457343	0.6466643982589363	291	457	443	0.9517543859649122
tr|A0A4U1F0T2|A0A4U1F0T2_MONMO	HOG:E0731959	Mammalia	32.91807233461595	11	0.07920403943506125	N/A	N/A	144	313	0.7622377622377622
tr|A0A4U1F0X6|A0A4U1F0X6_MONMO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	407	N/A	N/A
tr|A0A4U1F154|A0A4U1F154_MONMO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	136	N/A	N/A
tr|A0A4U1F1M4|A0A4U1F1M4_MONMO	HOG:E0801785	Eukaryota	545.1559510319898	122	0.6475691618298228	0.6489334255879273	122	194	127	0.6580310880829016
tr|A0A4U1F265|A0A4U1F265_MONMO	HOG:E0805787	Eukaryota	350.09502875487357	104	0.3179437310888477	0.28394718109501316	92	330	183	0.9787234042553191
tr|A0A4U1F378|A0A4U1F378_MONMO	HOG:E0802432.1a.1a.2b.5b	Boreoeutheria	2827.4088807155313	540	0.9944472103300733	0.9571422627593343	67	549	563	1.0
tr|A0A4U1F3A4|A0A4U1F3A4_MONMO	HOG:E0812425.1c	Bilateria	2215.063892812588	375	0.8905397732765175	0.8776526078153657	330	427	391	1.0
tr|A0A4U1F3C5|A0A4U1F3C5_MONMO	HOG:E0779907.2c.1b.7b	Artiodactyla	4693.317352402109	1111	0.93924004999928	0.40157470370901693	51	1188	1136	1.0
tr|A0A4U1F4B2|A0A4U1F4B2_MONMO	HOG:E0761292.3d	Vertebrata	1899.382980136132	316	0.9752566724734648	0.9677387895452253	240	330	353	1.0
tr|A0A4U1F4Y1|A0A4U1F4Y1_MONMO	HOG:E0745788	Gnathostomata	1238.7993463986784	169	0.8755979017189924	0.8756449941522181	169	199	199	1.0
